order_id,customer_id,product_id,order_date,quantity,price,amount
50,226,12,2024-01-17,1,59.96,59.96
51,930,148,2024-06-01,1,109.81,109.81
52,716,98,2024-04-02,1,21.91,21.91
53,551,72,2024-02-29,1,51.68,51.68
54,787,158,2023-09-08,1,47.24,47.24
55,655,129,2023-08-06,1,51.22,51.22
56,104,54,2024-01-14,1,42.89,42.89
57,957,77,2023-06-13,1,94.42,94.42
58,402,13,2024-02-08,2,94.17,188.34
59,305,43,2024-04-19,1,83.23,83.23
60,923,146,2024-06-14,1,109.39,109.39
61,877,2,2023-11-04,1,43.03,43.03
62,988,42,2023-10-17,1,29.96,29.96
63,984,34,2024-03-13,2,91.1,182.2
64,715,114,2023-10-19,1,61.79,61.79
65,140,81,2024-06-26,1,113.98,113.98
66,183,25,2023-11-28,2,52.28,104.56
67,633,25,2024-04-12,1,52.28,52.28
68,891,192,2024-01-24,2,143.25,286.5
69,48,32,2024-05-31,1,87.22,87.22
70,630,124,2024-05-01,1,46.49,46.49
71,45,67,2024-05-08,1,153.42,153.42
72,643,182,2023-08-19,1,50.31,50.31
73,144,198,2023-08-20,1,162.85,162.85
74,274,4,2024-06-23,1,58.4,58.4
75,927,14,2023-08-28,1,21.5,21.5
76,639,112,2023-07-16,2,31.9,63.8
77,552,152,2023-06-17,1,77.15,77.15
78,937,84,2023-07-13,2,61.39,122.78
79,585,41,2024-01-06,1,81.49,81.49
80,868,194,2023-07-26,3,72.72,218.16
81,495,6,2024-03-13,2,31.35,62.7
82,390,122,2023-11-16,1,61.53,61.53
83,308,15,2023-06-13,2,134.25,268.5
84,160,1,2023-12-17,1,160.27,160.27
85,568,1,2023-06-16,1,160.27,160.27
86,285,175,2024-07-01,1,146.24,146.24
87,356,79,2023-09-19,2,97.93,195.86
88,331,164,2023-08-21,2,39.16,78.32
89,165,197,2024-03-13,1,62.25,62.25
90,326,147,2023-10-03,1,36.29,36.29
91,942,17,2023-08-30,2,39.73,79.46
92,527,156,2023-07-05,1,48.86,48.86
93,173,148,2024-02-26,3,109.81,329.43
94,109,77,2023-10-10,1,94.42,94.42
95,538,102,2024-05-03,2,56.22,112.44
96,765,30,2023-06-17,1,25.01,25.01
97,341,66,2023-06-25,1,49.68,49.68
98,916,26,2024-02-25,1,95.73,95.73
99,46,159,2024-02-14,1,126.13,126.13
100,124,84,2023-08-04,3,61.39,184.17000000000002
101,532,168,2024-02-04,1,71.46,71.46
102,12,30,2023-10-09,1,25.01,25.01
103,577,118,2024-06-19,2,64.89,129.78
104,805,173,2024-06-29,1,42.99,42.99
105,540,61,2023-11-22,1,71.58,71.58
106,788,3,2024-04-04,2,43.97,87.94
107,138,74,2024-07-09,1,61.44,61.44
108,41,92,2024-03-28,1,19.84,19.84
109,744,144,2023-12-11,1,104.69,104.69
110,558,15,2023-07-13,2,134.25,268.5
111,54,189,2024-05-15,1,74.88,74.88
112,958,142,2024-01-01,2,47.23,94.46
113,227,150,2023-12-30,3,112.7,338.1
114,761,124,2024-04-09,1,46.49,46.49
115,19,170,2023-12-22,1,31.6,31.6
116,401,80,2023-11-27,1,67.63,67.63
117,776,166,2023-06-03,2,21.08,42.16
118,869,115,2023-12-05,1,51.53,51.53
119,940,94,2023-07-23,1,94.12,94.12
120,991,55,2023-08-12,1,47.37,47.37
121,77,30,2024-03-19,1,25.01,25.01
122,108,147,2023-08-01,1,36.29,36.29
123,301,43,2024-05-24,1,83.23,83.23
124,263,186,2023-11-02,1,63.02,63.02
125,768,56,2023-06-01,1,53.03,53.03
126,389,15,2024-06-18,1,134.25,134.25
127,485,149,2023-10-11,2,44.74,89.48
128,609,198,2024-04-04,1,162.85,162.85
129,334,126,2023-07-17,2,111.05,222.1
130,992,8,2024-02-19,1,68.2,68.2
131,618,78,2023-07-30,1,102.05,102.05
132,191,14,2024-07-16,1,21.5,21.5
133,937,156,2024-02-29,1,48.86,48.86
134,934,117,2023-06-12,1,34.22,34.22
135,278,70,2024-01-08,1,28.56,28.56
136,722,115,2023-06-30,2,51.53,103.06
137,588,126,2024-05-03,2,111.05,222.1
138,917,122,2023-07-02,2,61.53,123.06
139,345,65,2023-11-29,2,80.92,161.84
140,500,105,2023-06-13,1,131.55,131.55
141,345,22,2023-12-20,3,46.66,139.98
142,743,63,2023-12-11,2,75.4,150.8
143,569,78,2023-10-01,1,102.05,102.05
144,280,11,2023-08-01,1,35.55,35.55
145,110,26,2024-01-18,1,95.73,95.73
146,262,49,2023-10-09,3,21.73,65.19
147,59,27,2023-10-22,1,136.79,136.79
148,472,187,2023-11-30,1,53.46,53.46
149,528,41,2024-06-07,1,81.49,81.49
150,999,165,2024-01-30,1,57.28,57.28
151,392,133,2024-05-24,1,91.57,91.57
152,474,23,2023-06-28,1,95.95,95.95
153,329,46,2023-12-15,1,76.38,76.38
154,973,164,2024-01-27,2,39.16,78.32
155,756,56,2023-11-29,1,53.03,53.03
156,169,160,2023-11-10,1,92.73,92.73
157,571,64,2024-03-13,2,48.59,97.18
158,992,156,2023-09-25,2,48.86,97.72
159,755,58,2024-03-11,1,32.06,32.06
160,334,98,2024-05-05,3,21.91,65.73
161,711,167,2024-06-20,1,65.76,65.76
162,70,165,2024-06-01,1,57.28,57.28
163,228,27,2023-10-31,1,136.79,136.79
164,52,132,2024-07-19,2,59.37,118.74
165,188,180,2024-05-10,1,83.73,83.73
166,359,34,2023-09-22,1,91.1,91.1
167,704,87,2023-06-27,1,26.76,26.76
168,175,58,2023-09-19,1,32.06,32.06
169,990,60,2024-04-05,1,25.27,25.27
170,860,46,2024-05-03,2,76.38,152.76
171,224,24,2023-12-28,1,20.42,20.42
172,117,57,2024-02-10,2,20.14,40.28
173,20,177,2023-08-04,2,15.43,30.86
174,773,24,2024-06-25,1,20.42,20.42
175,14,92,2023-06-05,1,19.84,19.84
176,153,125,2024-01-03,1,66.7,66.7
177,883,101,2023-07-26,1,91.86,91.86
178,897,177,2023-12-13,1,15.43,15.43
179,58,6,2023-08-01,2,31.35,62.7
180,433,105,2024-04-07,3,131.55,394.65000000000003
181,495,61,2023-07-31,1,71.58,71.58
182,153,83,2023-07-02,2,26.4,52.8
183,138,153,2023-11-29,1,52.07,52.07
184,5,94,2024-02-02,1,94.12,94.12
185,225,188,2024-07-04,1,76.02,76.02
186,722,39,2024-04-10,1,71.24,71.24
187,642,166,2023-06-05,2,21.08,42.16
188,179,145,2023-12-16,3,51.86,155.57999999999998
189,581,66,2024-03-31,1,49.68,49.68
190,997,130,2024-06-24,1,35.56,35.56
191,9,157,2024-03-13,1,52.33,52.33
192,3,100,2023-06-29,1,72.82,72.82
193,978,198,2024-02-02,1,162.85,162.85
194,338,96,2024-07-08,2,101.67,203.34
195,993,80,2023-09-12,3,67.63,202.89
196,704,180,2023-06-05,1,83.73,83.73
197,30,102,2023-12-29,1,56.22,56.22
198,678,91,2023-07-20,2,76.03,152.06
199,158,142,2024-05-07,1,47.23,47.23
200,996,174,2023-09-02,2,125.69,251.38
201,894,159,2023-10-12,1,126.13,126.13
202,859,172,2024-07-18,1,80.5,80.5
203,72,177,2024-05-19,1,15.43,15.43
204,988,132,2023-07-09,1,59.37,59.37
205,297,194,2023-11-02,1,72.72,72.72
206,308,146,2024-04-12,1,109.39,109.39
207,296,149,2023-10-03,2,44.74,89.48
208,118,77,2023-08-08,1,94.42,94.42
209,820,89,2023-11-14,2,39.84,79.68
210,461,52,2023-06-15,2,110.26,220.52
211,158,180,2023-08-08,2,83.73,167.46
212,155,163,2023-06-10,2,125.35,250.7
213,328,69,2024-03-14,1,53.04,53.04
214,317,161,2024-01-21,1,88.44,88.44
215,116,1,2024-04-28,1,160.27,160.27
216,633,99,2023-09-27,1,46.37,46.37
217,516,68,2023-06-22,1,137.49,137.49
218,919,109,2023-12-27,1,52.31,52.31
219,416,3,2024-03-17,1,43.97,43.97
220,443,162,2024-04-08,1,52.13,52.13
221,499,72,2024-02-29,1,51.68,51.68
222,264,68,2024-03-15,1,137.49,137.49
223,381,156,2024-07-09,3,48.86,146.57999999999998
224,164,169,2024-01-29,1,27.34,27.34
225,42,184,2023-08-23,1,44.45,44.45
226,217,32,2023-11-26,1,87.22,87.22
227,457,190,2024-05-09,2,125.65,251.3
228,638,3,2023-08-25,1,43.97,43.97
229,249,175,2024-03-26,1,146.24,146.24
230,173,94,2023-08-20,1,94.12,94.12
231,298,54,2024-03-15,1,42.89,42.89
232,303,169,2023-08-15,2,27.34,54.68
233,896,30,2024-03-22,2,25.01,50.02
234,906,91,2023-12-31,1,76.03,76.03
235,569,40,2023-08-25,1,77.35,77.35
236,398,78,2024-02-28,1,102.05,102.05
237,578,134,2024-04-11,2,87.81,175.62
238,893,187,2023-12-25,1,53.46,53.46
239,247,63,2024-01-15,2,75.4,150.8
240,828,85,2023-10-21,1,51.41,51.41
241,720,57,2023-07-11,1,20.14,20.14
242,669,91,2024-01-27,2,76.03,152.06
243,258,190,2024-06-02,2,125.65,251.3
244,240,60,2024-04-04,2,25.27,50.54
245,288,188,2023-07-15,1,76.02,76.02
246,66,171,2023-11-04,1,79.81,79.81
247,456,71,2023-12-25,3,27.9,83.69999999999999
248,304,109,2023-11-21,2,52.31,104.62
249,198,50,2024-07-23,1,41.74,41.74
250,671,18,2024-01-18,2,18.1,36.2
251,993,24,2024-04-25,1,20.42,20.42
252,983,47,2023-08-07,1,69.4,69.4
253,265,114,2024-04-08,1,61.79,61.79
254,223,52,2024-04-11,1,110.26,110.26
255,21,154,2023-10-05,1,26.91,26.91
256,707,6,2024-02-16,2,31.35,62.7
257,493,198,2023-07-05,1,162.85,162.85
258,334,46,2023-09-24,1,76.38,76.38
259,541,2,2023-09-05,1,43.03,43.03
260,908,140,2023-06-04,2,51.14,102.28
261,379,38,2023-07-21,2,44.3,88.6
262,333,148,2024-01-14,2,109.81,219.62
263,698,70,2023-07-05,2,28.56,57.12
264,979,70,2023-12-09,3,28.56,85.67999999999999
265,782,108,2023-11-15,1,151.52,151.52
266,55,110,2023-10-07,1,88.23,88.23
267,930,47,2023-06-07,1,69.4,69.4
268,269,13,2024-05-25,1,94.17,94.17
269,572,111,2024-06-14,2,106.41,212.82
270,119,69,2024-01-29,2,53.04,106.08
271,151,71,2023-07-03,3,27.9,83.69999999999999
272,531,34,2023-08-22,2,91.1,182.2
273,287,24,2023-06-12,1,20.42,20.42
274,203,132,2023-12-23,1,59.37,59.37
275,532,172,2024-06-05,1,80.5,80.5
276,462,2,2023-09-05,2,43.03,86.06
277,164,98,2024-05-02,1,21.91,21.91
278,811,194,2023-08-21,2,72.72,145.44
279,614,196,2024-01-03,1,151.07,151.07
280,823,39,2024-03-04,2,71.24,142.48
281,406,60,2023-10-06,2,25.27,50.54
282,78,77,2023-06-04,1,94.42,94.42
283,406,190,2024-03-17,1,125.65,125.65
284,528,151,2023-12-03,1,28.68,28.68
285,141,126,2023-07-12,1,111.05,111.05
286,177,132,2023-09-28,1,59.37,59.37
287,611,103,2024-06-07,1,46.93,46.93
288,2,88,2024-02-08,1,111.76,111.76
289,783,75,2023-07-06,1,62.74,62.74
290,298,42,2024-02-18,2,29.96,59.92
291,487,28,2023-07-02,1,66.97,66.97
292,216,11,2024-02-14,1,35.55,35.55
293,238,90,2023-08-28,1,73.37,73.37
294,81,188,2024-02-29,1,76.02,76.02
295,793,195,2024-05-12,1,64.93,64.93
296,695,181,2023-12-08,1,81.86,81.86
297,175,82,2023-06-06,1,67.42,67.42
298,644,65,2023-12-16,2,80.92,161.84
299,255,145,2023-12-11,1,51.86,51.86
300,819,57,2023-09-02,2,20.14,40.28
301,36,128,2024-04-25,2,33.2,66.4
302,670,138,2024-03-30,2,37.19,74.38
303,431,70,2023-09-02,3,28.56,85.67999999999999
304,349,22,2023-10-26,1,46.66,46.66
305,92,52,2024-05-22,1,110.26,110.26
306,431,156,2023-12-29,2,48.86,97.72
307,867,59,2024-01-27,1,40.91,40.91
308,521,104,2024-02-27,1,147.77,147.77
309,500,187,2023-10-03,2,53.46,106.92
310,309,14,2023-07-06,1,21.5,21.5
311,285,51,2024-04-07,1,130.19,130.19
312,255,10,2024-01-16,1,100.18,100.18
313,103,1,2023-08-11,1,160.27,160.27
314,121,42,2024-02-28,1,29.96,29.96
315,555,175,2024-02-01,1,146.24,146.24
316,916,60,2023-06-22,1,25.27,25.27
317,741,141,2023-08-02,2,48.0,96.0
318,708,146,2024-01-07,1,109.39,109.39
319,735,200,2023-11-02,1,87.25,87.25
320,382,180,2023-07-10,1,83.73,83.73
321,681,122,2023-08-17,1,61.53,61.53
322,451,117,2024-05-25,1,34.22,34.22
323,983,189,2023-08-11,1,74.88,74.88
324,57,198,2024-01-09,2,162.85,325.7
325,187,20,2023-09-20,1,20.44,20.44
326,17,46,2024-02-27,1,76.38,76.38
327,512,33,2024-07-22,2,125.96,251.92
328,966,101,2024-01-14,2,91.86,183.72
329,433,198,2023-07-08,2,162.85,325.7
330,451,113,2024-05-15,1,79.64,79.64
331,229,59,2023-10-07,3,40.91,122.72999999999999
332,940,73,2024-04-18,1,42.35,42.35
333,904,60,2023-07-21,1,25.27,25.27
334,542,102,2024-06-22,1,56.22,56.22
335,275,129,2023-09-29,1,51.22,51.22
336,83,167,2024-06-11,1,65.76,65.76
337,858,121,2024-03-07,1,73.54,73.54
338,780,62,2024-01-10,1,42.42,42.42
339,822,128,2023-09-24,1,33.2,33.2
340,836,181,2023-09-14,2,81.86,163.72
341,583,195,2024-07-06,1,64.93,64.93
342,241,180,2023-12-31,1,83.73,83.73
343,388,133,2023-08-23,1,91.57,91.57
344,254,81,2023-07-23,1,113.98,113.98
345,705,32,2024-06-25,1,87.22,87.22
346,637,20,2023-11-05,1,20.44,20.44
347,861,39,2024-02-26,2,71.24,142.48
348,362,199,2023-06-14,1,45.84,45.84
349,895,50,2024-04-14,1,41.74,41.74
350,964,164,2023-09-28,2,39.16,78.32
351,427,11,2023-10-17,1,35.55,35.55
352,876,186,2023-07-28,1,63.02,63.02
353,1000,177,2024-05-13,2,15.43,30.86
354,431,113,2023-10-22,3,79.64,238.92000000000002
355,832,39,2024-03-11,2,71.24,142.48
356,394,48,2024-01-24,1,25.74,25.74
357,463,194,2024-05-30,1,72.72,72.72
358,188,162,2024-06-02,1,52.13,52.13
359,637,188,2024-05-13,1,76.02,76.02
360,15,184,2024-07-03,1,44.45,44.45
361,1,46,2024-02-14,1,76.38,76.38
362,728,69,2023-07-13,2,53.04,106.08
363,785,95,2024-03-06,1,65.06,65.06
364,459,75,2023-09-28,1,62.74,62.74
365,277,156,2024-01-12,1,48.86,48.86
366,582,151,2023-09-17,1,28.68,28.68
367,892,38,2024-05-02,1,44.3,44.3
368,185,2,2023-10-03,2,43.03,86.06
369,301,163,2023-10-07,2,125.35,250.7
370,735,26,2024-04-10,1,95.73,95.73
371,859,87,2024-02-12,1,26.76,26.76
372,4,127,2023-09-01,1,57.82,57.82
373,181,1,2024-01-21,2,160.27,320.54
374,332,102,2023-07-14,1,56.22,56.22
375,337,40,2024-07-10,2,77.35,154.7
376,848,4,2024-06-21,2,58.4,116.8
377,62,193,2024-05-09,1,50.59,50.59
378,870,148,2024-04-17,1,109.81,109.81
379,682,60,2024-04-03,2,25.27,50.54
380,31,31,2024-02-05,3,96.74,290.21999999999997
381,346,143,2023-07-21,1,67.06,67.06
382,931,58,2023-09-22,1,32.06,32.06
383,21,90,2024-01-10,1,73.37,73.37
384,221,70,2023-11-05,1,28.56,28.56
385,679,118,2023-07-04,1,64.89,64.89
386,281,185,2024-06-05,1,7.85,7.85
387,174,66,2023-10-05,2,49.68,99.36
388,238,136,2023-10-29,1,111.82,111.82
389,510,6,2024-05-15,2,31.35,62.7
390,497,6,2023-06-05,1,31.35,31.35
391,207,36,2023-11-22,1,71.96,71.96
392,958,99,2023-09-22,2,46.37,92.74
393,932,154,2023-08-15,2,26.91,53.82
394,365,122,2023-10-14,1,61.53,61.53
395,34,33,2023-12-01,1,125.96,125.96
396,499,140,2023-06-02,1,51.14,51.14
397,357,187,2023-10-08,2,53.46,106.92
398,411,110,2024-05-27,1,88.23,88.23
399,902,81,2024-07-20,2,113.98,227.96
400,8,65,2023-07-17,1,80.92,80.92
401,55,29,2024-03-29,1,29.27,29.27
402,788,114,2023-12-02,1,61.79,61.79
403,494,134,2023-09-14,2,87.81,175.62
404,369,99,2023-07-24,2,46.37,92.74
405,439,152,2024-03-26,1,77.15,77.15
406,917,3,2023-10-07,1,43.97,43.97
407,352,174,2024-03-26,1,125.69,125.69
408,845,97,2023-11-11,1,122.19,122.19
409,782,1,2024-01-13,1,160.27,160.27
410,883,169,2024-01-13,1,27.34,27.34
411,718,28,2023-11-25,1,66.97,66.97
412,598,169,2024-03-29,1,27.34,27.34
413,636,121,2023-08-25,2,73.54,147.08
414,465,96,2023-07-15,1,101.67,101.67
415,985,152,2024-05-27,3,77.15,231.45000000000002
416,454,145,2023-08-11,1,51.86,51.86
417,464,190,2023-09-16,1,125.65,125.65
418,92,124,2023-11-29,1,46.49,46.49
419,51,103,2024-05-22,1,46.93,46.93
420,156,198,2024-01-21,1,162.85,162.85
421,722,80,2023-06-20,1,67.63,67.63
422,627,90,2023-08-26,1,73.37,73.37
423,517,174,2023-10-19,2,125.69,251.38
424,404,44,2024-03-03,2,57.76,115.52
425,196,152,2024-05-12,1,77.15,77.15
426,658,170,2023-07-10,1,31.6,31.6
427,979,86,2024-04-11,2,27.32,54.64
428,964,151,2024-02-19,2,28.68,57.36
429,186,60,2023-12-30,1,25.27,25.27
430,564,14,2023-08-30,1,21.5,21.5
431,554,3,2024-07-16,1,43.97,43.97
432,532,184,2023-07-19,1,44.45,44.45
433,543,196,2024-07-13,1,151.07,151.07
434,44,82,2023-11-08,2,67.42,134.84
435,930,6,2024-04-02,2,31.35,62.7
436,701,159,2024-04-07,1,126.13,126.13
437,525,47,2024-05-05,1,69.4,69.4
438,886,199,2024-01-30,2,45.84,91.68
439,48,90,2023-08-15,1,73.37,73.37
440,980,156,2024-05-26,1,48.86,48.86
441,857,97,2024-03-27,2,122.19,244.38
442,17,47,2024-06-30,1,69.4,69.4
443,171,177,2023-10-21,1,15.43,15.43
444,803,78,2024-07-19,1,102.05,102.05
445,537,133,2024-03-21,1,91.57,91.57
446,662,68,2024-03-29,1,137.49,137.49
447,118,82,2024-03-28,2,67.42,134.84
448,998,84,2024-04-04,1,61.39,61.39
449,604,46,2024-01-01,3,76.38,229.14
450,387,22,2024-06-22,1,46.66,46.66
451,862,4,2024-04-02,1,58.4,58.4
452,55,151,2023-11-10,1,28.68,28.68
453,257,45,2023-08-06,1,60.73,60.73
454,823,77,2023-12-07,2,94.42,188.84
455,399,139,2024-03-09,2,35.38,70.76
456,670,1,2024-06-20,1,160.27,160.27
457,84,65,2023-11-27,1,80.92,80.92
458,579,54,2023-11-01,3,42.89,128.67000000000002
459,662,138,2023-06-19,1,37.19,37.19
460,433,17,2023-11-20,1,39.73,39.73
461,858,43,2023-06-15,1,83.23,83.23
462,813,78,2023-10-22,1,102.05,102.05
463,729,66,2024-04-24,2,49.68,99.36
464,805,85,2023-10-23,1,51.41,51.41
465,165,43,2023-07-02,1,83.23,83.23
466,991,115,2023-12-22,1,51.53,51.53
467,407,17,2024-01-16,1,39.73,39.73
468,474,117,2023-07-03,1,34.22,34.22
469,719,81,2024-04-28,2,113.98,227.96
470,16,159,2023-11-11,1,126.13,126.13
471,411,106,2023-11-15,1,95.58,95.58
472,753,82,2023-11-03,1,67.42,67.42
473,810,66,2024-07-11,1,49.68,49.68
474,846,120,2024-03-08,1,33.36,33.36
475,259,10,2023-06-20,1,100.18,100.18
476,616,96,2023-08-03,1,101.67,101.67
477,744,54,2023-08-19,1,42.89,42.89
478,663,180,2023-12-06,1,83.73,83.73
479,25,191,2023-07-24,2,33.61,67.22
480,500,51,2023-12-11,3,130.19,390.57
481,360,186,2024-06-04,2,63.02,126.04
482,235,131,2024-06-18,1,39.89,39.89
483,807,187,2023-06-01,1,53.46,53.46
484,776,58,2024-07-18,1,32.06,32.06
485,925,35,2024-07-02,1,48.41,48.41
486,527,200,2024-06-28,3,87.25,261.75
487,567,121,2023-08-21,2,73.54,147.08
488,508,59,2024-06-12,1,40.91,40.91
489,869,10,2023-07-04,2,100.18,200.36
490,737,126,2024-04-15,3,111.05,333.15
491,958,144,2024-01-18,1,104.69,104.69
492,701,147,2023-08-02,1,36.29,36.29
493,82,103,2024-06-17,2,46.93,93.86
494,46,55,2023-12-21,2,47.37,94.74
495,853,105,2024-01-25,1,131.55,131.55
496,244,128,2024-02-16,2,33.2,66.4
497,699,89,2024-05-05,2,39.84,79.68
498,467,187,2023-09-18,1,53.46,53.46
499,333,75,2023-07-03,1,62.74,62.74
500,617,90,2023-07-08,1,73.37,73.37
501,920,161,2024-05-07,1,88.44,88.44
502,374,157,2023-08-19,1,52.33,52.33
503,937,71,2023-08-18,1,27.9,27.9
504,998,30,2023-09-19,1,25.01,25.01
505,586,99,2023-09-17,1,46.37,46.37
506,520,101,2024-06-27,1,91.86,91.86
507,160,109,2023-09-03,1,52.31,52.31
508,904,55,2024-03-05,1,47.37,47.37
509,220,74,2023-09-02,1,61.44,61.44
510,505,1,2023-11-16,2,160.27,320.54
511,333,80,2023-08-06,1,67.63,67.63
512,964,146,2024-03-30,2,109.39,218.78
513,426,141,2024-05-03,1,48.0,48.0
514,289,42,2023-12-13,2,29.96,59.92
515,590,104,2023-12-19,1,147.77,147.77
516,963,118,2024-01-15,1,64.89,64.89
517,989,9,2023-10-22,1,49.05,49.05
518,508,145,2024-04-13,1,51.86,51.86
519,617,146,2023-07-02,1,109.39,109.39
520,216,40,2024-07-02,1,77.35,77.35
521,584,165,2023-09-27,3,57.28,171.84
522,836,186,2023-08-19,1,63.02,63.02
523,556,144,2023-11-23,1,104.69,104.69
524,732,40,2024-03-12,1,77.35,77.35
525,481,36,2024-07-15,2,71.96,143.92
526,237,40,2023-06-17,1,77.35,77.35
527,174,121,2023-11-22,1,73.54,73.54
528,131,184,2023-06-11,1,44.45,44.45
529,565,5,2024-04-04,1,70.86,70.86
530,553,27,2023-08-15,2,136.79,273.58
531,518,41,2024-02-26,1,81.49,81.49
532,383,196,2023-12-11,1,151.07,151.07
533,557,106,2023-10-13,1,95.58,95.58
534,674,193,2023-10-02,2,50.59,101.18
535,276,76,2024-02-04,3,37.89,113.67
536,507,91,2023-07-21,1,76.03,76.03
537,988,174,2024-02-15,2,125.69,251.38
538,607,13,2024-04-22,1,94.17,94.17
539,804,93,2023-10-31,1,102.91,102.91
540,532,12,2023-07-12,3,59.96,179.88
541,46,112,2023-09-21,1,31.9,31.9
542,88,49,2023-06-07,1,21.73,21.73
543,541,130,2023-06-18,1,35.56,35.56
544,480,136,2024-01-04,1,111.82,111.82
545,50,49,2023-12-28,2,21.73,43.46
546,472,102,2023-07-21,1,56.22,56.22
547,917,22,2024-05-08,1,46.66,46.66
548,243,43,2023-08-30,1,83.23,83.23
549,224,69,2024-01-17,1,53.04,53.04
550,948,85,2023-11-15,1,51.41,51.41
551,472,184,2023-07-13,2,44.45,88.9
552,98,9,2024-02-13,1,49.05,49.05
553,13,157,2024-05-10,1,52.33,52.33
554,750,15,2024-01-15,1,134.25,134.25
555,501,163,2024-01-20,1,125.35,125.35
556,2,108,2023-06-17,1,151.52,151.52
557,634,61,2023-12-18,1,71.58,71.58
558,515,35,2024-04-18,1,48.41,48.41
559,582,12,2023-06-21,1,59.96,59.96
560,757,68,2023-10-31,1,137.49,137.49
561,845,22,2023-10-14,2,46.66,93.32
562,600,75,2024-06-13,1,62.74,62.74
563,655,155,2023-11-22,1,88.2,88.2
564,723,117,2023-06-23,1,34.22,34.22
565,558,4,2024-06-06,2,58.4,116.8
566,656,123,2023-06-16,2,30.7,61.4
567,746,13,2023-10-11,1,94.17,94.17
568,49,102,2023-08-19,3,56.22,168.66
569,99,99,2024-03-17,2,46.37,92.74
570,529,127,2023-06-23,1,57.82,57.82
571,722,5,2023-10-17,1,70.86,70.86
572,98,4,2023-07-28,1,58.4,58.4
573,550,128,2024-02-28,1,33.2,33.2
574,391,73,2024-06-09,2,42.35,84.7
575,550,62,2023-07-19,1,42.42,42.42
576,797,61,2024-01-03,2,71.58,143.16
577,481,9,2023-08-18,1,49.05,49.05
578,732,9,2023-06-20,1,49.05,49.05
579,952,90,2024-05-18,1,73.37,73.37
580,839,144,2024-06-21,1,104.69,104.69
581,869,156,2024-05-10,2,48.86,97.72
582,555,79,2023-06-06,3,97.93,293.79
583,411,89,2024-05-10,2,39.84,79.68
584,630,51,2023-12-17,1,130.19,130.19
585,387,172,2024-01-23,1,80.5,80.5
586,212,64,2023-10-17,1,48.59,48.59
587,863,191,2024-02-19,2,33.61,67.22
588,456,143,2024-02-28,1,67.06,67.06
589,89,39,2023-12-23,1,71.24,71.24
590,947,73,2024-07-20,1,42.35,42.35
591,326,136,2024-03-20,1,111.82,111.82
592,1,132,2023-10-30,1,59.37,59.37
593,693,72,2024-06-07,1,51.68,51.68
594,600,22,2023-12-06,1,46.66,46.66
595,98,128,2024-01-18,1,33.2,33.2
596,979,104,2024-01-23,3,147.77,443.31000000000006
597,47,174,2023-08-02,2,125.69,251.38
598,109,74,2024-07-23,1,61.44,61.44
599,800,88,2023-07-18,1,111.76,111.76
600,165,85,2023-11-01,1,51.41,51.41
601,324,132,2023-08-18,2,59.37,118.74
602,64,174,2023-06-30,2,125.69,251.38
603,343,128,2023-10-17,1,33.2,33.2
